Scope L1,Scope L2,Level 1,Level 2,Level 3,Level 4,Level 5,Factor Source,Column Text,Description,UOM,kg CO2e,kg CO2e of CO2,kg CO2e of CH4,kg CO2e of N2O,kWh (Net CV),kWh (net)
Scope 1,Scope 1,Bioenergy,Biofuel,Bio Petrol,,,GHG Conversion Factor 2022,,,GJ,42.339,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Bio Petrol,,,GHG Conversion Factor 2022,,,kg,1.891,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Bio Petrol,,,GHG Conversion Factor 2022,,,litres,1.402,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Biodiesel HVO,,,GHG Conversion Factor 2022,,,GJ,103.677,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Biodiesel HVO,,,GHG Conversion Factor 2022,,,kg,4.562,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Biodiesel HVO,,,GHG Conversion Factor 2022,,,litres,3.558,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Biodiesel ME,,,GHG Conversion Factor 2022,,,GJ,505.961,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Biodiesel ME,,,GHG Conversion Factor 2022,,,kg,18.822,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Biodiesel ME,,,GHG Conversion Factor 2022,,,litres,16.751,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Biodiesel ME (from Tallow),,,GHG Conversion Factor 2022,,,GJ,505.961,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Biodiesel ME (from Tallow),,,GHG Conversion Factor 2022,,,kg,18.822,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Biodiesel ME (from Tallow),,,GHG Conversion Factor 2022,,,litres,16.751,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Biodiesel ME (from used cooking oil),,,GHG Conversion Factor 2022,,,GJ,505.961,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Biodiesel ME (from used cooking oil),,,GHG Conversion Factor 2022,,,kg,18.822,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Biodiesel ME (from used cooking oil),,,GHG Conversion Factor 2022,,,litres,16.751,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Bioethanol,,,GHG Conversion Factor 2022,,,GJ,42.339,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Bioethanol,,,GHG Conversion Factor 2022,,,kg,1.135,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Bioethanol,,,GHG Conversion Factor 2022,,,litres,901,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Biomethane (compressed),,,GHG Conversion Factor 2022,,,GJ,10.625,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Biomethane (compressed),,,GHG Conversion Factor 2022,,,kg,521,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Biomethane (compressed),,,GHG Conversion Factor 2022,,,litres,,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Biomethane (liquified),,,GHG Conversion Factor 2022,,,GJ,10.625,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Biomethane (liquified),,,GHG Conversion Factor 2022,,,kg,521,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Biomethane (liquified),,,GHG Conversion Factor 2022,,,litres,,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Biopropane,,,GHG Conversion Factor 2022,,,GJ,8.952,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Biopropane,,,GHG Conversion Factor 2022,,,kg,415,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Biopropane,,,GHG Conversion Factor 2022,,,litres,214,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Methanol (bio),,,GHG Conversion Factor 2022,,,GJ,42.339,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Methanol (bio),,,GHG Conversion Factor 2022,,,kg,851,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Methanol (bio),,,GHG Conversion Factor 2022,,,litres,676,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Off road biodiesel,,,GHG Conversion Factor 2022,,,GJ,505.961,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Off road biodiesel,,,GHG Conversion Factor 2022,,,kg,18.822,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Off road biodiesel,,,GHG Conversion Factor 2022,,,litres,16.751,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Renewable petrol,,,GHG Conversion Factor 2022,,,GJ,42.339,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Renewable petrol,,,GHG Conversion Factor 2022,,,kg,1.188,,,,,
Scope 1,Scope 1,Bioenergy,Biofuel,Renewable petrol,,,GHG Conversion Factor 2022,,,litres,1.059,,,,,
Scope 1,Scope 1,Bioenergy,Biogas,Biogas,,,GHG Conversion Factor 2022,,,kWh,22,,,,,
Scope 1,Scope 1,Bioenergy,Biogas,Biogas,,,GHG Conversion Factor 2022,,,tonnes,121.919,,,,,
Scope 1,Scope 1,Bioenergy,Biogas,Landfill gas,,,GHG Conversion Factor 2022,,,kWh,2,,,,,
Scope 1,Scope 1,Bioenergy,Biogas,Landfill gas,,,GHG Conversion Factor 2022,,,tonnes,68.844,,,,,
Scope 1,Scope 1,Bioenergy,Biomass,Grass/straw,,,GHG Conversion Factor 2022,,,kWh,1.292,,,,,
Scope 1,Scope 1,Bioenergy,Biomass,Grass/straw,,,GHG Conversion Factor 2022,,,tonnes,4.804.825,,,,,
Scope 1,Scope 1,Bioenergy,Biomass,Wood chips,,,GHG Conversion Factor 2022,,,kWh,1.053,,,,,
Scope 1,Scope 1,Bioenergy,Biomass,Wood chips,,,GHG Conversion Factor 2022,,,tonnes,3.978.833,,,,,
Scope 1,Scope 1,Bioenergy,Biomass,Wood logs,,,GHG Conversion Factor 2022,,,kWh,1.053,,,,,
Scope 1,Scope 1,Bioenergy,Biomass,Wood logs,,,GHG Conversion Factor 2022,,,tonnes,4.303.576,,,,,
Scope 1,Scope 1,Bioenergy,Biomass,Wood pellets,,,GHG Conversion Factor 2022,,,kWh,1.053,,,,,
Scope 1,Scope 1,Bioenergy,Biomass,Wood pellets,,,GHG Conversion Factor 2022,,,tonnes,5.055.459,,,,,
Scope 1,Scope 1,Delivery vehicles,HGV (all diesel),All artics,,0% Laden,GHG Conversion Factor 2022,0% Laden,,km,6.563,64.011,13,1.606,,
